,title,url,clean_title
0,10-Things-I-Hate-About-You,https://www.imsdb.com/scripts/10-Things-I-Hate-About-You.html,10 Things I Hate About You
2,12-and-Holding,https://www.imsdb.com/scripts/12-and-Holding.html,12 and Holding
3,12-Monkeys,https://www.imsdb.com/scripts/12-Monkeys.html,12 Monkeys
4,12-Years-a-Slave,https://www.imsdb.com/scripts/12-Years-a-Slave.html,12 Years a Slave
5,127-Hours,https://www.imsdb.com/scripts/127-Hours.html,127 Hours
6,1492-Conquest-of-Paradise,https://www.imsdb.com/scripts/1492-Conquest-of-Paradise.html,1492: Conquest of Paradise
7,15-Minutes,https://www.imsdb.com/scripts/15-Minutes.html,15 Minutes
8,17-Again,https://www.imsdb.com/scripts/17-Again.html,17 Again
9,187,https://www.imsdb.com/scripts/187.html,187
10,2001-A-Space-Odyssey,https://www.imsdb.com/scripts/2001-A-Space-Odyssey.html,2001: A Space Odyssey
11,2012,https://www.imsdb.com/scripts/2012.html,2012
13,28-Days-Later,https://www.imsdb.com/scripts/28-Days-Later.html,28 Days Later
14,30-Minutes-or-Less,https://www.imsdb.com/scripts/30-Minutes-or-Less.html,30 Minutes or Less
15,42,https://www.imsdb.com/scripts/42.html,42
16,44-Inch-Chest,https://www.imsdb.com/scripts/44-Inch-Chest.html,44 Inch Chest
18,50-50,https://www.imsdb.com/scripts/50-50.html,50-50
19,500-Days-of-Summer,https://www.imsdb.com/scripts/500-Days-of-Summer.html,500 Days of Summer
21,8MM,https://www.imsdb.com/scripts/8MM.html,8MM
22,9,https://www.imsdb.com/scripts/9.html,9
23,A-Few-Good-Men,https://www.imsdb.com/scripts/A-Few-Good-Men.html,A Few Good Men
24,A-Most-Violent-Year,https://www.imsdb.com/scripts/A-Most-Violent-Year.html,A Most Violent Year
25,A-Prayer-Before-Dawn,https://www.imsdb.com/scripts/A-Prayer-Before-Dawn.html,A Prayer Before Dawn
26,A-Quiet-Place,https://www.imsdb.com/scripts/A-Quiet-Place.html,A Quiet Place
27,A-Scanner-Darkly,https://www.imsdb.com/scripts/A-Scanner-Darkly.html,A Scanner Darkly
28,A-Serious-Man,https://www.imsdb.com/scripts/A-Serious-Man.html,A Serious Man
30,Above-the-Law,https://www.imsdb.com/scripts/Above-the-Law.html,Above the Law
31,Absolute-Power,https://www.imsdb.com/scripts/Absolute-Power.html,Absolute Power
32,"Abyss,-The","https://www.imsdb.com/scripts/Abyss,-The.html","Abyss, The"
33,Ace-Ventura-Pet-Detective,https://www.imsdb.com/scripts/Ace-Ventura-Pet-Detective.html,Ace Ventura: Pet Detective
34,Adaptation,https://www.imsdb.com/scripts/Adaptation.html,Adaptation
35,"Addams-Family,-The","https://www.imsdb.com/scripts/Addams-Family,-The.html","Addams Family, The"
36,"Adjustment-Bureau,-The","https://www.imsdb.com/scripts/Adjustment-Bureau,-The.html","Adjustment Bureau, The"
37,"Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The","https://www.imsdb.com/scripts/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html","Adventures of Buckaroo Banzai Across the Eighth Dimension, The"
38,Affliction,https://www.imsdb.com/scripts/Affliction.html,Affliction
39,After-School-Special,https://www.imsdb.com/scripts/After-School-Special.html,After School Special
40,After.Life,https://www.imsdb.com/scripts/After.Life.html,After.Life
41,Agnes-of-God,https://www.imsdb.com/scripts/Agnes-of-God.html,Agnes of God
42,Air-Force-One,https://www.imsdb.com/scripts/Air-Force-One.html,Air Force One
43,Airplane,https://www.imsdb.com/scripts/Airplane.html,Airplane
44,Airplane-2-The-Sequel,https://www.imsdb.com/scripts/Airplane-2-The-Sequel.html,Airplane 2: The Sequel
45,Aladdin,https://www.imsdb.com/scripts/Aladdin.html,Aladdin
46,Ali,https://www.imsdb.com/scripts/Ali.html,Ali
48,Alien-3,https://www.imsdb.com/scripts/Alien-3.html,Alien 3
49,Alien-Nation,https://www.imsdb.com/scripts/Alien-Nation.html,Alien Nation
50,Alien-vs.-Predator,https://www.imsdb.com/scripts/Alien-vs.-Predator.html,Alien vs. Predator
51,Alien-Resurrection,https://www.imsdb.com/scripts/Alien-Resurrection.html,Alien: Resurrection
52,Aliens,https://www.imsdb.com/scripts/Aliens.html,Aliens
53,All-About-Eve,https://www.imsdb.com/scripts/All-About-Eve.html,All About Eve
54,All-About-Steve,https://www.imsdb.com/scripts/All-About-Steve.html,All About Steve
55,All-the-King's-Men,https://www.imsdb.com/scripts/All-the-King's-Men.html,All the King's Men
56,All-the-President's-Men,https://www.imsdb.com/scripts/All-the-President's-Men.html,All the President's Men
58,Alone-in-the-Dark,https://www.imsdb.com/scripts/Alone-in-the-Dark.html,Alone in the Dark
59,Amadeus,https://www.imsdb.com/scripts/Amadeus.html,Amadeus
60,Amelia,https://www.imsdb.com/scripts/Amelia.html,Amelia
61,American-Beauty,https://www.imsdb.com/scripts/American-Beauty.html,American Beauty
62,American-Gangster,https://www.imsdb.com/scripts/American-Gangster.html,American Gangster
63,American-Graffiti,https://www.imsdb.com/scripts/American-Graffiti.html,American Graffiti
64,American-History-X,https://www.imsdb.com/scripts/American-History-X.html,American History X
65,American-Hustle,https://www.imsdb.com/scripts/American-Hustle.html,American Hustle
66,American-Madness,https://www.imsdb.com/scripts/American-Madness.html,American Madness
67,American-Milkshake,https://www.imsdb.com/scripts/American-Milkshake.html,American Milkshake
68,American-Outlaws,https://www.imsdb.com/scripts/American-Outlaws.html,American Outlaws
69,American-Pie,https://www.imsdb.com/scripts/American-Pie.html,American Pie
70,"American-President,-The","https://www.imsdb.com/scripts/American-President,-The.html","American President, The"
71,American-Psycho,https://www.imsdb.com/scripts/American-Psycho.html,American Psycho
72,American-Shaolin-King-of-Kickboxers-II,https://www.imsdb.com/scripts/American-Shaolin-King-of-Kickboxers-II.html,American Shaolin: King of Kickboxers II
73,American-Sniper,https://www.imsdb.com/scripts/American-Sniper.html,American Sniper
